7.346022725105285645e-01,6.931289434432983398e-01,4.656520502521743765e-09
6.604050993919372559e-01,6.600062847137451172e-01,-3.056607674807310104e-03
6.022018194198608398e-01,5.863128304481506348e-01,-9.187880903482437134e-03
5.676661133766174316e-01,5.284752845764160156e-01,-2.386444434523582458e-02
5.474911928176879883e-01,4.697604775428771973e-01,-3.737421706318855286e-02
6.624128818511962891e-01,4.880448281764984131e-01,1.916721649467945099e-02
6.173908710479736328e-01,4.189817905426025391e-01,-1.299412269145250320e-02
5.820684432983398438e-01,4.156730175018310547e-01,-3.822685405611991882e-02
5.527299642562866211e-01,4.336656630039215088e-01,-4.937809333205223083e-02
6.909274458885192871e-01,4.701766669750213623e-01,2.203789306804537773e-03
6.617285013198852539e-01,3.590472340583801270e-01,-3.121979720890522003e-02
6.193502545356750488e-01,3.076401352882385254e-01,-5.578878521919250488e-02
5.821151733398437500e-01,2.741777896881103516e-01,-6.540340185165405273e-02
7.246330976486206055e-01,4.678699672222137451e-01,-1.883709058165550232e-02
6.600275039672851562e-01,4.300670325756072998e-01,-6.052238121628761292e-02
6.571335196495056152e-01,5.114606618881225586e-01,-6.294598430395126343e-02
6.681027412414550781e-01,5.700792074203491211e-01,-4.969370737671852112e-02
7.602139115333557129e-01,4.772809147834777832e-01,-4.034328460693359375e-02
6.937110424041748047e-01,4.595060348510742188e-01,-6.719834357500076294e-02
6.851431727409362793e-01,5.247648358345031738e-01,-5.711316317319869995e-02
6.939650774002075195e-01,5.757780075073242188e-01,-4.056750982999801636e-02
